"value","age","MP","X90s","Goals","Shots","SoT","SoT.","G.Sh","G.SoT","ShoDist","ShoFK","ShoPK","PasTotCmp.","PasTotPrgDist","PasShoCmp","PasShoCmp.","PasMedAtt","PasMedCmp.","PasLonCmp","PasLonAtt","PasLonCmp.","Assists","PasAss","Pas3rd","PPA","CrsPA","PasProg","PasDead","PasFK","TB","Sw","PasCrs","TI","CK","CkIn","CkStr","PasOff","PasBlocks","SCA","ScaPassLive","ScaPassDead","ScaDrib","ScaSh","ScaFld","ScaDef","GCA","GcaPassLive","GcaPassDead","GcaDrib","GcaSh","GcaFld","GcaDef","Tkl","TklWon","TklDef3rd","TklMid3rd","TklAtt3rd","TklDri","TklDriAtt","TklDri.","TklDriPast","Blocks","BlkSh","Int","Clr","Err","Touches","TouDefPen","TouDef3rd","TouMid3rd","TouAtt3rd","TouAttPen","ToAtt","ToSuc","ToSuc.","ToTkl","ToTkl.","Carries","CarTotDist","CarProg","Car3rd","CPA","CarMis","CarDis","Rec","RecProg","CrdY","CrdR","X2CrdY","Fls","Fld","Off","PKwon","PKcon","OG","Recov","AerWon","AerLost","AerWon.","G.MP"
15,21,16,10.8,3,1.11,0.37,33.3,0.17,0.5,16.8,0,0.09,76.8,84.6,16.6,86.9,9.54,75.7,1.3,2.04,63.6,0.09,1.2,1.76,1.2,0,3.52,1.57,0.46,0.09,0.19,0.37,0,0,0,0,0.28,1.2,3.43,2.59,0,0,0.28,0.37,0.19,0.37,0.37,0,0,0,0,0,1.2,0.56,0.37,0.37,0.46,0.19,0.74,25,0.56,0.93,0,1.11,0.46,0,45,0.28,4.81,19.5,20.7,2.69,1.94,0.56,28.6,1.11,57.1,27.3,130.4,1.3,1.3,0.37,1.94,2.41,33.3,7.13,0.28,0,0,1.76,3.06,0.19,0,0,0,4.44,0.83,1.67,33.3,0.277777777777778
10,26,21,20.3,0,1.23,0.54,44,0,0,23.9,0.15,0,84,305.7,26.1,93.8,20.7,90.3,7.64,12.4,61.5,0.2,2.91,5.96,0.84,0.44,5.62,8.28,4.14,0.15,1.63,7.09,0.44,3.69,1.43,0.05,0.44,0.94,5.17,2.71,2.12,0.1,0.15,0,0.1,0.54,0.3,0.15,0.05,0,0,0.05,1.33,0.54,0.3,0.64,0.39,0.44,0.84,52.9,0.39,0.94,0.3,1.23,1.13,0.05,72.7,2.56,14.8,39.7,18.6,0.74,0.89,0.39,44.4,0.39,44.4,40.1,184.1,1.28,1.08,0.15,0.64,0.39,51.1,2.51,0.05,0,0,0.59,1.28,0,0,0,0,4.78,0.44,0.25,64.3,0
20,22,18,11.5,4,2.96,1.13,38.2,0.12,0.31,23.4,0,0,77.5,108.3,13.4,88.5,12.3,81.6,1.91,2.96,64.7,0.09,1.65,2.61,1.48,0.09,4.52,0.87,0.35,0.87,0.09,1.13,0,0.26,0.17,0,0.35,1.65,3.48,2.43,0,0.35,0.43,0.26,0,0.35,0.17,0,0,0.09,0.09,0,1.48,0.78,0.43,0.61,0.43,0.87,1.57,55.6,0.7,0.78,0.26,0.35,0.96,0,45.6,0.96,6.09,19.1,21.1,3.3,2.7,1.22,45.2,1.13,41.9,29.9,167.9,2.43,2.35,0.7,1.57,1.57,33.7,5.39,0.87,0.09,0.09,3.13,2.78,0.09,0.09,0.09,0,5.22,0,0.87,0,0.347826086956522
3,31,19,13.6,3,0.88,0.51,58.3,0.17,0.29,12.4,0,0.07,84.7,166.6,17.6,92.7,13.3,87.8,3.97,6.32,62.8,0,0.81,3.38,0.15,0.07,3.9,3.16,1.84,0.07,0.59,1.62,0.07,0.81,0.22,0,0,0.29,1.91,1.47,0.29,0.07,0,0.07,0,0.07,0.07,0,0,0,0,0,0.88,0.44,0.44,0.22,0.22,0.29,0.66,44.4,0.37,0.81,0.07,0.51,1.03,0,47.9,1.99,10.1,27,11,1.47,0.37,0.07,20,0.15,40,26.7,119.6,1.03,1.1,0.22,1.1,1.47,33.6,1.47,0,0,0,0.22,0.88,0,0,0,0,4.49,0.66,1.32,33.3,0.220588235294118
2.5,26,5,1.5,0,0.67,0,0,0,0,23.7,0,0,90,252.7,38.7,98.3,31.3,91.5,2.67,4.67,57.1,0,2.67,13.3,0.67,0,6,0,0,0.67,0,0,0,0,0,0,0.67,0.67,3.33,3.33,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0,0,0.67,0.67,0,0.67,0,0.67,2,0.67,0.67,1.33,0,88,0.67,8,54.7,26,0,0.67,0.67,100,0,0,58,250,0.67,2,0,0.67,0.67,69.3,0.67,0.67,0,0,1.33,2,0,0,0,0,3.33,1.33,1.33,50,0
2.5,34,8,3.4,0,1.18,0.29,25,0,0,20.5,0.59,0,86.3,199.7,29.7,89.4,16.5,91.1,2.65,4.41,60,0.29,1.47,4.12,0.88,0,4.71,0.59,0.29,0.88,0,0.29,0,0.29,0,0,0.59,0.29,3.82,3.24,0,0,0.29,0.29,0,0.29,0.29,0,0,0,0,0,1.76,1.18,0.59,0.88,0.29,0.59,0.88,66.7,0.29,1.76,0.29,1.47,1.47,0,68.5,2.94,12.1,37.9,18.8,2.06,1.47,0.29,20,0.88,60,45,126.5,0.88,1.18,0,0.59,0.88,50.3,1.18,0.88,0.29,0,3.24,1.18,0,0,0,0,5.88,0.59,0.29,66.7,0
2.5,26,18,7.1,0,1.41,0.7,50,0,0,22.9,0,0,75.8,112.5,13.4,81.9,13.2,81.9,3.52,4.93,71.4,0,0.42,2.39,0.56,0.28,3.52,1.97,0.14,0,0.7,2.25,0.85,0.14,0.14,0,0.14,1.13,1.83,1.13,0,0.14,0.28,0.28,0,0,0,0,0,0,0,0,1.13,0.7,0.56,0.42,0.14,0.42,1.97,21.4,1.55,1.27,0,1.27,0.56,0.14,50.7,0.56,8.59,25.5,17.6,1.97,2.54,1.27,50,1.27,50,32.7,216.5,2.25,2.25,0.28,2.68,2.25,33.9,5.35,0.56,0,0,2.11,1.55,0,0.14,0.14,0,7.04,0.56,0.99,36.4,0
90,23,16,11.8,0,1.44,0.17,11.8,0,0,21.7,0,0,92.9,321.5,33.1,95.8,29.2,91.9,3.98,4.66,85.5,0.17,0.85,5.51,0.51,0,6.36,1.69,1.61,0.42,0.42,0.42,0.08,0,0,0,0.08,0.17,2.54,2.03,0,0,0.25,0.17,0.08,0.51,0.51,0,0,0,0,0,2.54,1.53,0.68,1.86,0,0.93,1.53,61.1,0.59,0.85,0.17,2.12,2.12,0,82.9,3.98,20.8,51.3,11.1,1.27,1.36,0.85,62.5,0.51,37.5,53.2,291.1,1.44,1.44,0.17,1.1,0.59,63.6,1.02,0.08,0,0,1.53,1.36,0,0,0,0,5,2.29,0.93,71.1,0
5,21,6,1.2,0,0,0,0,0,0,0,0,0,85.1,94.2,16.7,87,11.7,100,4.17,7.5,55.6,0,1.67,2.5,0,0,1.67,5.83,3.33,0,1.67,3.33,0,2.5,1.67,0,0,0,3.33,2.5,0.83,0,0,0,0,0,0,0,0,0,0,0,3.33,2.5,3.33,0,0,0.83,3.33,25,2.5,1.67,0,0,2.5,0,51.7,2.5,15,24.2,12.5,0,2.5,0.83,33.3,0.83,33.3,25,94.2,0,0,0,3.33,1.67,28.3,3.33,0,0,0,1.67,0.83,0,0,0,0,5.83,0,1.67,0,0
15,24,14,9.3,0,0.11,0,0,0,0,28,0,0,89,182.4,26.3,93.9,20,88.2,2.26,2.8,80.8,0,0.22,3.44,0.11,0,3.76,0.43,0.43,0.11,0.11,0.11,0,0,0,0,0,0.75,0.54,0.43,0,0.11,0,0,0,0,0,0,0,0,0,0,3.66,2.47,1.51,1.94,0.22,1.61,2.58,62.5,0.97,0.54,0.22,1.72,1.72,0,64.1,2.58,20.2,40.4,4.3,0,0.65,0.43,66.7,0.22,33.3,33.3,152.4,1.08,0.43,0,1.08,1.18,43.2,1.18,0.43,0,0,1.51,1.08,0,0,0,0,6.67,0.97,0.97,50,0
