"value","age","X90s","Goals","Shots","SoT","SoT.","G.Sh","G.SoT","ShoDist","ShoFK","ShoPK","PKatt","PasTotCmp.","PasTotDist","PasTotPrgDist","PasShoCmp","PasShoCmp.","PasMedCmp","PasMedCmp.","PasLonCmp","PasLonAtt","PasLonCmp.","Assists","PasAss","Pas3rd","PPA","CrsPA","PasProg","PasAtt","PasLive","PasDead","PasFK","TB","Sw","PasCrs","TI","CK","CkIn","CkOut","CkStr","PasOff","PasBlocks","SCA","ScaPassLive","ScaPassDead","ScaDrib","ScaSh","ScaFld","ScaDef","GCA","GcaPassLive","GcaPassDead","GcaDrib","GcaSh","GcaFld","GcaDef","Tkl","TklWon","TklDef3rd","TklMid3rd","TklAtt3rd","TklDri","TklDriAtt","TklDri.","TklDriPast","Blocks","BlkSh","BlkPass","Int","Tkl.Int","Clr","Err","Touches","TouDefPen","TouDef3rd","TouMid3rd","TouAtt3rd","TouAttPen","ToAtt","ToSuc","ToSuc.","ToTkl","ToTkl.","Carries","CarTotDist","CarPrgDist","CarProg","Car3rd","CPA","CarMis","CarDis","Rec","RecProg","CrdY","CrdR","X2CrdY","Fls","Fld","Off","Crs","PKwon","PKcon","OG","Recov","AerWon","AerLost","AerWon.","G.MP"
7,23,3,0,0.67,0.33,50,0,0,7.8,0,0,0,71.8,590,265.3,20.7,88.6,13.3,66.7,2.33,5.67,41.2,0,0,3,0.33,0,3.33,54.3,42.3,11.7,0.33,0,0.67,1.33,11.3,0,0,0,0,0.33,2.33,1,0.67,0,0.33,0,0,0,0.33,0.33,0,0,0,0,0,2.67,2.33,2.33,0.33,0,2,2.33,85.7,0.33,1.33,0.67,0.67,2,4.67,2.67,0,65.7,4.67,20.7,30.7,15,1.67,1.33,0.33,25,1,75,30.3,112.7,67.3,0.67,0.67,0.33,1,0.67,35,3.67,0,0,0,0.67,0.67,0,1.33,0,0,0,6,1,2,33.3,0
6,26,8.4,0,0.36,0.12,33.3,0,0,25.1,0,0,0,81.4,685.4,231.7,18.9,89.8,19.5,85.4,2.5,5,50,0,0.71,1.31,1.07,0.71,1.67,50.5,42,8.21,0.71,0,0,2.62,7.5,0,0,0,0,0.24,0.83,1.9,1.55,0,0.24,0.12,0,0,0.12,0.12,0,0,0,0,0,2.26,1.07,1.31,0.71,0.24,1.31,2.74,47.8,1.43,1.55,0.36,1.19,0.36,2.62,1.67,0,60.8,2.02,19.2,25.5,16.8,0.24,1.67,0.36,21.4,1.31,78.6,31.4,140.4,62.6,1.79,1.31,0,1.31,1.07,38.1,4.76,0,0,0,1.67,0.48,0,2.62,0,0,0,3.57,1.43,1.07,57.1,0
8,23,1.6,0,2.5,1.25,50,0,0,10.5,0,0,0,83.1,630,161.3,9.38,100,16.9,90,3.75,7.5,50,0,0,1.25,0,0,3.13,36.9,36.3,0.63,0.63,0,1.25,0,0,0,0,0,0,0,0.63,1.25,0.63,0,0,0.63,0,0,0,0,0,0,0,0,0,1.25,0.63,1.25,0,0,1.25,2.5,50,1.25,1.88,1.25,0.63,3.13,4.38,0,0,46.3,3.75,20.6,23.1,3.13,2.5,0,0,0,0,0,30,125.6,61.3,0,0,0,0.63,0,28.1,0.63,0,0,0,0.63,0.63,0,0,0,0,0,6.88,0,0.63,0,0
50,20,13.4,0,0.45,0.15,33.3,0,0,22.6,0,0,0,90.6,866.3,154.4,35,94.9,20,93.1,2.99,4.25,70.2,0.3,0.9,3.51,0.6,0.3,3.21,65.4,56.5,8.66,0.97,0,0.22,1.42,7.69,0,0,0,0,0.3,0.52,2.09,1.87,0,0.22,0,0,0,0.3,0.3,0,0,0,0,0,1.72,1.34,1.12,0.45,0.15,0.82,1.19,68.8,0.37,1.19,0.15,1.04,0.52,2.24,0.75,0,75.5,1.72,16.4,36,24.2,2.24,2.91,1.49,51.3,1.19,41,48.6,257.1,137.5,2.99,2.61,1.04,1.34,0.75,51.6,6.94,0.15,0,0,1.04,0.9,0.15,1.42,0,0,0,6.27,0.37,0.75,33.3,0
3,24,3.1,0,1.29,0.32,25,0,0,26.4,0,0,0,79.5,688.4,148.7,14.5,86.5,19.4,87,3.23,7.1,45.5,0,0.32,1.29,0,0,0.97,48.7,38.7,10,1.29,0,0,1.94,8.71,0,0,0,0,0,0.97,1.29,0.97,0,0,0,0.32,0,0.65,0.32,0,0,0,0.32,0,5.16,2.58,3.87,0.97,0.32,2.26,3.23,70,0.97,1.61,0,1.61,0.97,6.13,3.23,0,62.6,3.23,17.7,25.5,20.6,1.29,2.9,0.97,33.3,0.97,33.3,28.1,186.8,74.5,1.61,0.97,0,0.65,0.32,34.8,3.87,0.32,0,0,0.97,1.94,0,1.94,0,0,0,4.52,1.94,0.97,66.7,0
3.5,31,19.7,0,0.56,0.05,9.1,0,0,25.5,0,0,0,64.3,460.3,206.1,13.6,81.7,10.9,70.2,2.34,7.21,32.4,0.15,0.76,2.18,0.66,0.41,2.94,42.7,33.7,8.73,1.12,0,0.36,2.44,7.61,0,0,0,0,0.3,1.88,1.52,1.27,0.1,0,0,0.05,0.1,0.15,0.15,0,0,0,0,0,2.74,1.62,1.47,0.76,0.51,1.62,2.94,55.2,1.32,1.73,0.41,1.32,1.02,3.76,2.74,0,55.6,3.5,18.9,24.9,12.3,0.81,1.42,0.56,39.3,0.76,53.6,22,89.7,51.2,1.42,0.76,0.2,1.32,0.61,24.9,3.55,0.25,0,0,1.47,0.91,0.05,2.44,0,0.1,0,6.24,0.76,0.96,44.1,0
12,27,9.3,0,1.61,0.65,40,0,0,17.8,0,0,0,76.1,494.8,129.4,17,89.8,13,79.1,1.18,2.9,40.7,0.11,0.75,1.29,0.97,0.22,1.94,42.3,33.5,8.6,0.43,0,0.11,3.76,8.17,0,0,0,0,0.11,2.37,2.15,1.51,0,0.32,0.22,0,0.11,0.32,0.22,0,0.11,0,0,0,1.83,1.72,0.86,0.75,0.22,1.18,1.51,78.6,0.32,0.75,0.11,0.65,0.54,2.37,1.51,0,53,2.15,14.1,17.4,22.4,2.69,3.01,1.4,46.4,1.18,39.3,27.4,212.5,118.3,2.9,2.26,0.75,1.51,1.18,30.5,8.17,0.11,0,0,1.29,1.08,0.11,3.76,0,0,0,4.09,0.97,0.86,52.9,0
4,27,8.2,0,0.73,0,0,0,0,23.4,0,0,0,85,764,269.8,26.1,91.8,17.8,86.4,3.17,4.76,66.7,0,0.61,1.71,1.22,0.37,4.02,57.1,44.4,12.7,1.59,0,0.12,2.07,11.1,0,0,0,0,0,1.34,1.59,1.1,0.37,0,0,0,0.12,0,0,0,0,0,0,0,2.32,0.85,1.34,0.37,0.61,1.46,1.95,75,0.49,0.85,0,0.85,0.85,3.17,0.85,0,65.1,1.59,14.4,30,20.9,0.73,0.85,0.12,14.3,0.49,57.1,32.4,147.6,66,1.59,1.1,0.12,0.73,0.61,38.9,4.76,0.24,0,0,0.85,0.85,0,2.07,0,0,0,3.78,0.61,1.71,26.3,0
40,27,8,0,0.38,0.25,66.7,0,0,15.9,0,0,0,94.5,1473,460.3,33.1,93.3,43.8,98.6,5.13,7,73.2,0.13,0.25,4.75,0.13,0,5.13,87.9,85.1,2.75,2.25,0.25,0.63,0,0.38,0,0,0,0,0,0,0.63,0.63,0,0,0,0,0,0.25,0.25,0,0,0,0,0,1.13,0.63,0.5,0.63,0,0.5,0.88,57.1,0.38,0.5,0.25,0.25,0.88,2,2.75,0,94.5,6.75,35.1,57.9,1.75,0.38,0.13,0,0,0.13,100,67.5,345.9,194.6,1,0.88,0,0.13,0,74.1,0.13,0.25,0,0,0.75,0.38,0,0,0,0,0,6.13,2.38,1,70.4,0
32,30,13.6,1,1.03,0.22,21.4,0.07,0.33,13.3,0,0,0,91.9,1011.7,325.8,19.4,95.7,29.6,95.3,4.63,6.25,74.1,0,0.15,3.24,0.29,0,2.35,58.8,57.4,1.4,0.74,0.07,0.81,0.15,0.29,0,0,0,0,0,0.37,0.81,0.74,0,0,0.07,0,0,0.07,0,0,0,0.07,0,0,0.51,0.44,0.37,0.15,0,0.44,0.66,66.7,0.22,0.88,0.51,0.37,0.66,1.18,2.87,0,66.8,7.43,32.1,32.5,2.57,1.18,0,0,0,0,0,45.2,219.3,134.9,0.44,0.29,0,0.44,0,49.4,0.15,0.07,0,0,0.29,0.15,0,0.15,0,0,0,5.51,1.62,0.59,73.3,0.0735294117647059
10,29,11.4,0,0.53,0,0,0,0,16.6,0,0,0,81.8,732,256.8,19.3,89.8,19.6,83.6,2.98,5.18,57.6,0.09,0.35,2.54,0.44,0.18,3.33,52.2,44.6,7.19,0.79,0,0,0.35,6.4,0,0,0,0,0.35,0.61,0.79,0.44,0.18,0,0.18,0,0,0.18,0,0.09,0,0.09,0,0,1.84,1.05,1.05,0.7,0.09,0.96,1.58,61.1,0.61,1.05,0.53,0.53,1.58,3.42,2.63,0.09,61.8,4.65,23.6,31.4,6.93,0.96,0.26,0.09,33.3,0.18,66.7,31.3,157.3,82.8,1.32,0.79,0,0.79,0.26,36.1,1.23,0.35,0.09,0,1.49,0.7,0,0.35,0,0,0,3.77,1.14,1.67,40.6,0
15,20,15,2,1,0.13,13.3,0.13,1,12.1,0,0,0,80.6,612.3,216.6,26.1,91.6,12.3,80.8,2.6,5.13,50.6,0.07,1.33,2.47,1,0.67,3.73,52.3,41.2,10.7,1.6,0,0.27,2.13,9.07,0,0,0,0,0.4,1.27,2.53,2,0,0.07,0.2,0.27,0,0.13,0.07,0,0,0,0.07,0,2.2,1.27,1.27,0.67,0.27,1.4,2.6,53.8,1.2,1.4,0.2,1.2,0.87,3.07,1.4,0,62.7,2.6,19.1,28.1,15.9,2.27,1.73,0.67,38.5,0.8,46.2,30.9,176.5,102.8,2.2,1.33,0.33,1.47,0.73,37.3,4.47,0.4,0,0,1,2.47,0.33,2.13,0,0,0,5.73,1.13,0.8,58.6,0.133333333333333
5,34,13.9,0,0.36,0,0,0,0,19.2,0,0,0,93,847.1,277.6,22.9,95.8,24.9,94.5,2.23,3.09,72.1,0,0.22,3.17,0.07,0,3.31,55.1,52.9,2.16,2.01,0,0.07,0.14,0.14,0,0,0,0,0,0.29,0.94,0.94,0,0,0,0,0,0.14,0.14,0,0,0,0,0,0.94,0.58,0.58,0.36,0,0.5,0.72,70,0.22,0.86,0.5,0.36,0.86,1.8,3.31,0,62.9,6.19,24.5,35.1,3.6,0.86,0.22,0.22,100,0,0,39.9,175.3,78.4,0.22,0.36,0,0.36,0.14,43.5,0.43,0.14,0,0,0.72,0.65,0,0.14,0,0,0,5.04,1.58,1.22,56.4,0
15,27,0.9,0,0,0,0,0,0,0,0,0,0,79.6,741.1,231.1,18.9,94.4,23.3,80.8,1.11,5.56,20,0,0,2.22,0,0,3.33,54.4,52.2,2.22,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,1.11,1.11,1.11,0,1.11,1.11,100,0,2.22,1.11,1.11,1.11,3.33,2.22,0,63.3,12.2,41.1,22.2,0,0,0,0,0,0,0,37.8,180,115.6,1.11,0,0,0,0,45.6,0,1.11,0,0,1.11,0,0,0,0,0,0,2.22,0,1.11,0,0
5,23,5.7,0,1.05,0.35,33.3,0,0,12.1,0,0,0,84.7,1028.9,373.3,21.1,89.6,27.9,90.9,5.09,7.54,67.4,0,0.18,4.56,0.18,0,4.91,64,62.6,1.05,0.53,0,1.4,0,0,0,0,0,0,0.35,0.88,1.4,1.05,0,0,0.35,0,0,0,0,0,0,0,0,0,1.75,1.23,0.88,0.88,0,0.7,0.7,100,0,1.05,0.18,0.88,0.53,2.28,2.98,0.18,73.5,6.14,32.3,38.2,3.16,1.4,0.35,0.35,100,0,0,47.4,285.6,204,1.75,1.4,0,0,0.53,48.1,0.18,0.18,0,0,0.53,0.88,0,0,0,0,0,8.6,3.86,2.98,56.4,0
5,34,11.4,0,0.44,0.09,20,0,0,20.5,0,0,0,80.6,811.1,282.7,30.6,92.3,21.9,81.2,1.14,4.82,23.6,0,0.79,2.28,1.23,0.26,4.74,67.7,56.3,11.1,2.11,0,0,1.49,9.04,0,0,0,0,0.26,0.96,1.49,1.49,0,0,0,0,0,0.09,0.09,0,0,0,0,0,2.28,1.32,1.32,0.7,0.26,1.32,1.67,78.9,0.35,1.67,0.35,1.32,1.23,3.51,3.6,0,78.6,5.61,27.8,32.1,19.1,1.23,0.79,0.44,55.6,0.35,44.4,37.3,160,93.9,1.32,1.05,0,0.61,0.26,47.5,4.82,0.26,0,0,1.49,0.35,0.09,1.49,0,0,0,3.86,1.93,1.32,59.5,0
6,26,3.5,0,0.29,0,0,0,0,8.2,0,0,0,75.2,493.7,157.4,5.43,90.5,13.4,85.5,3.71,8,46.4,0,0,0.86,0,0,1.14,30,28.3,1.71,1.71,0,0.29,0,0,0,0,0,0,0,0.29,0.29,0,0.29,0,0,0,0,0,0,0,0,0,0,0,1.43,0.57,0.57,0.86,0,0.57,0.57,100,0,1.71,1.14,0.57,1.14,2.57,8,0,44,7.43,24.6,18.6,0.86,0.57,0,0,0,0,0,16,71.7,37.4,0.29,0.29,0,0.57,0,18.9,0,0.57,0,0,1.14,0.86,0,0,0,0,0,4.29,2.29,2.86,44.4,0
3,33,0.4,0,2.5,2.5,100,0,0,24.8,0,0,0,95.2,1070,435,12.5,100,32.5,92.9,5,5,100,0,2.5,5,2.5,0,7.5,52.5,47.5,5,5,0,2.5,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,67.5,10,17.5,42.5,7.5,0,0,0,0,0,0,27.5,127.5,40,0,0,0,0,0,40,0,0,0,0,2.5,0,0,0,0,0,0,5,5,2.5,66.7,0
15,24,14.1,1,0.5,0.14,28.6,0.14,0.5,10.4,0,0,0,81.1,867.2,324.4,11.7,88.7,22.8,90.2,6.24,10.3,60.7,0,0.07,3.97,0.07,0,4.47,50.4,47.6,2.48,2.41,0,1.21,0.28,0,0,0,0,0,0.28,0.71,0.43,0.28,0.07,0,0,0.07,0,0,0,0,0,0,0,0,2.06,1.21,1.42,0.57,0.07,1.21,1.49,81,0.28,0.85,0.5,0.35,1.42,3.48,3.97,0.07,61.9,5.46,28.2,31.9,2.48,1.13,0.5,0.07,14.3,0.35,71.4,37.2,200.3,132,0.99,0.5,0,0.57,0.35,35.5,0.21,0.21,0,0,1.35,0.85,0,0.28,0,0,0,7.94,1.63,2.34,41.1,0.0709219858156028
40,31,15.2,1,0.59,0.07,11.1,0.11,1,20.7,0.26,0,0,88.3,743.6,263.6,28.6,95.8,16.8,88.9,2.7,4.67,57.7,0.2,0.99,3.55,0.46,0.2,3.49,56.8,51.9,4.61,2.24,0.13,0.13,1.25,1.97,0.13,0.13,0,0,0.33,0.53,1.58,1.32,0.2,0,0.07,0,0,0.26,0.2,0,0,0.07,0,0,0.66,0.53,0.26,0.2,0.2,0.39,0.72,54.5,0.33,0.79,0.53,0.26,0.72,1.38,1.64,0.07,61.8,6.38,24.7,26.2,11.3,0.86,0.13,0.07,50,0.07,50,38,166.8,99.9,0.72,1.18,0.07,0.46,0.2,44.6,2.63,0.2,0,0,0.46,0.13,0,1.25,0,0.07,0,4.67,0.33,0.39,45.5,0.0657894736842105
15,29,17.5,1,0.46,0.11,25,0.13,0.5,10.7,0,0,0,80.8,751.8,299.6,12.5,87.6,17,87.1,6.4,10.3,62.2,0,0.23,3.94,0.17,0,3.54,44.7,43.2,1.43,1.37,0.06,0.69,0.06,0.06,0,0,0,0,0.06,0.23,0.69,0.69,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0.74,0.91,0.51,0,0.74,0.8,92.9,0.06,0.8,0.34,0.46,1.49,2.91,5.49,0,55.9,6.63,26.4,28.1,1.6,0.69,0.06,0.06,100,0,0,28.7,139,69.5,0.4,0.17,0,0.29,0.06,31.7,0.17,0.34,0.06,0,1.83,0.69,0,0.06,0,0.06,0,5.31,2.57,1.26,67.2,0.0571428571428571
3,34,10.4,2,0.77,0.48,62.5,0.25,0.4,15,0,0,0,90.3,1014.5,340.7,19.6,92.7,29.9,96.3,4.13,6.54,63.2,0.1,0.48,3.65,0.1,0,3.27,60.3,57.6,2.4,1.83,0,0.48,0,0.19,0,0,0,0,0.29,0.29,0.67,0.58,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0,1.44,0.96,0.58,0.77,0.1,0.77,0.87,88.9,0.1,1.35,0.87,0.48,0.48,1.92,3.75,0.1,69.2,9.62,36,31,2.6,0.96,0.29,0.29,100,0,0,42.5,219.1,136.1,1.54,0.38,0,0.38,0,48.8,0,0.29,0,0,0.87,0.87,0.29,0,0,0,0,5.19,1.92,1.44,57.1,0.192307692307692
